ID,Name,Proponent,Project Type,AFOLU Activities,Methodology,Status,Country/Area,Estimated Annual Emission Reductions,Region,Project Registration Date,Crediting Period Start Date,Crediting Period End Date
1968,Grid Connected Wind Energy Project in Gujarat,Apraava Energy Private Limited,Energy industries (renewable/non-renewable sources),,ACM0002,Registered,India,"759,489",Asia,2020-05-08,2023-04-07,2033-04-06
1946,Renewable Wind Power Project by Hero Future Energies,Hero Future Energies Private Limited,Energy industries (renewable/non-renewable sources),,ACM0002,Registered,India,"50,140",Asia,2019-09-09,2017-12-29,2027-12-28
1941,Sustainable City Projects at India’s Cleanest City- Indore,Indore Smart City Development Ltd,Energy industries (renewable/non-renewable sources); Waste handling and disposal,,ACM0002; ACM0022,Registered,India,"283,396",Asia,2019-08-26,2017-10-12,2027-10-11
1934,"Patikari Hydro Electric Power Project in Distt-Mandi, Himachal Pradesh, India",Patikari Power Private Limited,Energy industries (renewable/non-renewable sources),,ACM0002,Registered,India,"58,583",Asia,2020-06-15,,
1931,Energising India using Solar Energy Projects,Azure Power India Pvt ltd,Energy industries (renewable/non-renewable sources),,ACM0002,Registered,India,"684,229",Asia,2019-11-26,2017-09-19,2027-09-18
1920,24.45 MW Biomass based project in Punjab,Satia Industries Limited,Energy industries (renewable/non-renewable sources),,ACM0006,Registered,India,"208,613",Asia,2019-09-17,2017-09-15,2027-09-14
1914,150 MW Solar Project in Karnataka by Avaada Solar,Avaada Solar Energy Private Limited,Energy industries (renewable/non-renewable sources),,ACM0002,Registered,India,"319,470",Asia,2020-05-08,2018-12-20,2028-12-19
1904,Wind Power Project in Tamil Nadu by Green Infra Renewable Energy Limited,Green Infra Renewable Energy Limited,Energy industries (renewable/non-renewable sources),,ACM0002,Registered,India,"707,515",Asia,2020-09-07,2018-10-08,2028-10-07
1893,"18 MW Kemphole Mini Hydel Scheme (KMHS), by International Power Corporation Limited, India",International Power Corporation Limited,Energy industries (renewable/non-renewable sources),,ACM0002,Registered,India,"44,548",Asia,2019-07-29,,
1891,Kishanganga Hydroelectric Project,NHPC Ltd,Energy industries (renewable/non-renewable sources),,ACM0002,Registered,India,"1,563,247",Asia,2019-07-09,2018-03-13,2028-03-12
1890,Grid Connected Solar Energy Project,Apraava Energy Private Limited,Energy industries (renewable/non-renewable sources),,ACM0002,Registered,India,"289,503",Asia,2019-05-08,2017-08-07,2027-08-06
1877,Thangarabalu Small Hydel Project at Karnataka,Kare Power Resources Private Limited. (KPRPL),Energy industries (renewable/non-renewable sources),,ACM0002,Registered,India,"53,983",Asia,2021-03-12,2015-09-16,2025-09-15
1878,"Bundled renewable energy project in Gujarat and Karnataka, India",Multiple Proponents,Energy industries (renewable/non-renewable sources),,AMS-I.D.,Registered,India,"11,842",Asia,2019-03-20,2018-03-08,2028-03-07
1862,Bundled Wind Power Project in Gujarat and Tamil Nadu,Multiple Proponents,Energy industries (renewable/non-renewable sources),,AMS-I.D.,Registered,India,"29,987",Asia,2021-02-23,,
1163,Wind Power Project in Tirupur District,NSL WInd Power Company Phoolwadi Private Limited,Energy industries (renewable/non-renewable sources),,ACM0002,Registered,India,"109,306",Asia,2020-04-06,,
1861,3.5MW Manuni Hydro Electric Project in Himanchal Pradesh by Winsome Textile Industries Ltd,Winsome Textile Industries Limited,Energy industries (renewable/non-renewable sources),,AMS-I.D.,Registered,India,"17,619",Asia,2020-07-09,2017-03-31,2027-03-30
1210,Green Energy Project at Kutch by Powerica Limited,POWERICA LIMITED,Energy industries (renewable/non-renewable sources),,ACM0002,Registered,India,"53,122",,2020-04-06,,
1211,Green Energy Project at Gujarat by Powerica Limited,POWERICA LIMITED,Energy industries (renewable/non-renewable sources),,ACM0002,Registered,India,"61,360",,2014-08-04,,
700,Wind power project at Tamilnadu by Powerica Limited,POWERICA LIMITED,Energy industries (renewable/non-renewable sources),,ACM0002,Registered,India,"32,956",Asia,2020-06-04,,
701,Wind power project at Gujarat by Powerica Limited,POWERICA LIMITED,Energy industries (renewable/non-renewable sources),,AMS-I.D.,Registered,India,"29,443",Asia,2020-04-06,,
1857,Grouped OFF-GRID Renewable Energy Project in India,Multiple Proponents,Energy industries (renewable/non-renewable sources),,AMS-I.F.,Registered,India,"38,366",Asia,2019-04-01,2017-04-01,2027-03-31
1856,Bundled Wind Power Project by Sembcorp Green Infra Limited in India,Green Infra Wind Energy Limited,Energy industries (renewable/non-renewable sources),,ACM0002,Registered,India,"191,006",Asia,2019-05-08,2017-03-02,2027-03-01
1854,20 MWAC (22 MWDC) SKCIL SOLAR POWER PLANT PROJECT,Shri Keshav Cements & Infra Ltd.,Energy industries (renewable/non-renewable sources),,ACM0002,Registered,India,"33,707",Asia,2020-04-23,2018-04-01,2028-03-31
1853,9.9 MW Wind Power Project by KPL International Ltd. in Gujarat,KPL International Limited,Energy industries (renewable/non-renewable sources),,AMS-I.D.,Registered,India,"24,232",Asia,2019-01-17,2017-02-28,2027-02-27
1842,100 MW SOLAR PROJECT IN BHADLA IN RAJASTHAN.,Clean Sustainable Energy Pvt. Ltd.,Energy industries (renewable/non-renewable sources),,ACM0002,Registered,India,"176,539",Asia,2019-01-03,2018-09-16,2028-09-15
1844,80 MW SOLAR BY FERMI SOLAR FARMS PVT LTD - CHALISGAON.,Fermi Solar Farms Pvt. Ltd.,Energy industries (renewable/non-renewable sources),,ACM0002,Registered,India,"206,705",Asia,2018-12-31,2018-04-14,2028-04-13
1831,"Wind Energy Project at Devbhoomi Dwaraka,Gujarat by Powerica Limited",POWERICA LIMITED,Energy industries (renewable/non-renewable sources),,ACM0002,Registered,India,"42,210",Asia,2019-03-21,,
1197,Chakala Wind Power Project in Maharashtra,M/s Bindu Vayu Urja Private Limited,Energy industries (renewable/non-renewable sources),,ACM0002,Registered,India,"74,307",Asia,2014-07-17,,
1830,Wind Power Project at Theni by Powerica Limited,POWERICA LIMITED,Energy industries (renewable/non-renewable sources),,AMS-I.D.,Registered,India,"21,864",Asia,2018-11-28,,
1822,10 MW wind power project by Powerica at BDS - Gujarat,POWERICA LIMITED,Energy industries (renewable/non-renewable sources),,AMS-I.D.,Registered,India,"24,816",Asia,2019-10-17,2017-02-04,2027-02-03
1823,"21.8 MW Wind Power Project at Jangi Vandhiya, Gujarat by Powerica Limited",POWERICA LIMITED,Energy industries (renewable/non-renewable sources),,ACM0002,Registered,India,"50,207",Asia,2018-11-21,,
1815,Renewable Solar Power Project by Adani Green Energy Limited,Adani Green Energy Limited,Energy industries (renewable/non-renewable sources),,ACM0002,Registered,India,"1,553,021",Asia,2019-10-17,2017-09-28,2027-09-27
1816,Wind power project in Tirunelveli Tamilnadu,Vaayu Renewable Energy (Tapti) Private Limited,Energy industries (renewable/non-renewable sources),,AMS-I.D.,Registered,India,"16,347",Asia,2020-04-17,2017-12-02,2027-12-01
1807,"Biomass based thermal energy generation project by Dynamic Fine Paper Mill at Polai Kalan, Deegod, Kota",Dynamic Fine Paper Mill Pvt. Ltd.,Energy industries (renewable/non-renewable sources),,AMS-I.C.,Registered,India,"43,938",Asia,2018-10-15,2016-11-21,2026-11-20
1805,Solar Energy Project(s) by SB Energy Private Limited,Adani Renewable Energy Devco Private Limited,Energy industries (renewable/non-renewable sources),,ACM0002,Registered,India,"4,354,646",Asia,2018-09-24,2017-02-27,2027-02-26
1195,Wind Power Project in Rajasthan,Mytrah Energy (INDIA) Ltd.,Energy industries (renewable/non-renewable sources),,ACM0002,Registered,India,"70,677",Asia,2020-04-06,,
1190,Wind power project in Gujarat,Mytrah Energy (India) Limited,Energy industries (renewable/non-renewable sources),,ACM0002,Registered,India,"48,273",Asia,2020-04-06,,
1800,12 MW Raura Hydro Project by DLI Power,DLI Power (India) Private Limited,Energy industries (renewable/non-renewable sources),,AMS-I.D.,Registered,India,"38,464",Asia,2021-02-25,2019-09-09,2029-09-08
1787,Renewable Power Project by Animala Wind Power Private Limited,Animala Wind Power Private Limited,Energy industries (renewable/non-renewable sources),,ACM0002,Registered,India,"163,843",Asia,2019-05-21,2017-03-30,2027-03-29
1788,Renewable Power Project by Saipuram Wind Energies Private Limited,Saipuram Wind Energies Private Limited,Energy industries (renewable/non-renewable sources),,ACM0002,Registered,India,"266,287",Asia,2018-08-14,2017-03-31,2027-03-30
1789,Renewable Power Project by SEI Kathiravan Power Private Limited,SEI Kathiravan Power Private Limited,Energy industries (renewable/non-renewable sources),,ACM0002,Registered,India,"77,356",Asia,2019-08-19,2017-03-09,2027-03-08
1790,Renewable Power Project by Axis Wind Farms (MPR Dam) Private Limited,Axis Wind Farms (MPR Dam) Private Limited,Energy industries (renewable/non-renewable sources),,ACM0002,Registered,India,"195,052",Asia,2018-08-14,2017-03-30,2027-03-29
1791,Pavagada Solar Renewable Power Project by Greenko Group,SEI Suryashakti Power Private Limited,Energy industries (renewable/non-renewable sources),,ACM0002,Registered,India,"139,239",Asia,2019-08-19,2017-03-30,2027-03-29
1792,Ghani Solar Renewable Power Project by Greenko Group,Zuvan Energy Private Limited,Energy industries (renewable/non-renewable sources),,ACM0002,Registered,India,"996,010",Asia,2018-08-14,2017-03-31,2027-03-30
1793,Renewable Power Project by Devarahipparigi Wind Power Private Limited,Devarahipparigi Wind Power Private Limited,Energy industries (renewable/non-renewable sources),,ACM0002,Registered,India,"195,052",Asia,2018-12-10,2017-03-25,2027-03-24
1782,"Solar PV Power Project by Prayatna Developers Pvt. Ltd. at Bhatinda, Punjab",Prayatna Developers Private Limited,Energy industries (renewable/non-renewable sources),,ACM0002,Registered,India,"167,973",Asia,2018-08-02,2016-09-17,2026-09-16
1783,72 MWac Ramnad Renewable Energy Project,Ramnad Renewable Energy Ltd,Energy industries (renewable/non-renewable sources),,ACM0002,Registered,India,"115,817",Asia,2018-08-02,2016-09-18,2026-09-17
1784,Solar Power Project by Mytrah Energy India Private Limited,JSW NEO ENERGY LIMITED,Energy industries (renewable/non-renewable sources),,ACM0002,Registered,India,"638,520",Asia,2020-04-06,2017-06-19,2027-06-18
1786,Solar Photovoltaic Project by Giriraj Renewables Private Limited,Avaada Energy Private Limited,Energy industries (renewable/non-renewable sources),,ACM0002,Registered,India,"234,677",Asia,2020-07-29,2018-03-02,2028-03-01
250,"Bundled Wind Power Project in Tamil Nadu, India, Co-ordinated by Tamil Nadu Spinning Mills Association(TASMA-V1)",TAMILNADU SPINNING MILLS ASSOCIATION (TASMA),Energy industries (renewable/non-renewable sources),,ACM0002,Registered,India,"82,064",Asia,2020-04-06,,
1776,Wind Power Project by Green Infra Wind Power Generation Limited,Green Infra Wind Power Generation Limited,Energy industries (renewable/non-renewable sources),,ACM0002,Registered,India,"79,147",Asia,2020-12-10,2016-08-12,2026-08-11
1772,Solar and Wind Power Project by NTPC Limited,NTPC GREEN ENERGY LIMITED,Energy industries (renewable/non-renewable sources),,ACM0002,Registered,India,"940,891",Asia,2018-06-29,2016-08-10,2026-08-09
1771,46 MW Mangoli Wind Power Project in Karnataka,Vena Energy KN Wind Power Private Limited,Energy industries (renewable/non-renewable sources),,ACM0002,Registered,India,"120,268",Asia,2019-08-13,2016-07-23,2026-07-22
1770,Bundled Solar Power Project by Vector Green Energy Private Limited,Multiple Proponents,Energy industries (renewable/non-renewable sources),,ACM0002,Registered,India,"163,888",Asia,2020-04-06,2016-06-28,2026-06-27
1768,216 MWac Kamuthi Solar Power Project,Kamuthi Solar Power Limited,Energy industries (renewable/non-renewable sources),,ACM0002,Registered,India,"346,117",Asia,2020-04-13,2016-09-18,2026-09-17
1767,Bundled Solar Power Project by Mahindra Susten Private Limited,Multiple Proponents,Energy industries (renewable/non-renewable sources),,ACM0002,Registered,India,"329,360",Asia,2019-05-16,2016-06-29,2026-06-28
1759,Methane Recovery and Power Generation Project at ESIPL,Everest Starch India Pvt. Ltd.,Energy industries (renewable/non-renewable sources); Waste handling and disposal,,AMS-I.F.; AMS-III.H.,Registered,India,"52,036",Asia,2020-04-13,2016-09-18,2026-09-17
766,Teesta- V Hydro Power project in Sikkim,NHPC Ltd,Energy industries (renewable/non-renewable sources),,ACM0002,Registered,India,"2,044,442",Asia,2020-04-06,,
1753,Bundled Solar Photovoltaic Project by ACME,Multiple Proponents,Energy industries (renewable/non-renewable sources),,ACM0002; AMS-I.D.,Registered,India,"2,078,589",Asia,2020-04-06,2017-02-10,2027-02-09
249,"Bundled Wind Power Project in Tamilnadu, India, Co-ordinated by Tamilnadu Spinning Mills Association(TASMA-II)",TAMILNADU SPINNING MILLS ASSOCIATION (TASMA),Energy industries (renewable/non-renewable sources),,ACM0002,Registered,India,"758,093",Asia,2020-04-06,,
974,"Sarbari II hydro power project by DSL Hydrowatt Limited in Kullu, Himachal Pradesh",DSL HYDROWATT PRIVATE LIMITED,Energy industries (renewable/non-renewable sources),,AMS-I.D.,Registered,India,"28,635",Asia,2020-04-06,,
483,"Sarbari-I small hydro project of DSL Hydrowatt Limited (DSLHL), Himachal Pradesh, India",DSL HYDROWATT PRIVATE LIMITED,Energy industries (renewable/non-renewable sources),,AMS-I.D.,Registered,India,"23,425",Asia,2020-04-06,,
1746,108 MW Fatanpur Wind Power Project in Madhya Pradesh,Multiple Proponents,Energy industries (renewable/non-renewable sources),,ACM0002,Registered,India,"212,745",Asia,2018-03-09,2016-03-11,2026-03-10
1744,4 MW Biomass based cogeneration plant by Godrej Agrovet Ltd.,Godrej Agrovet Limited,Energy industries (renewable/non-renewable sources),,AMS-I.C.,Registered,India,"97,671",Asia,2018-08-20,2018-10-01,2028-09-30
1745,Bundled Solar Power Project by Vector Green Sunshine Private Limited and Polepally Solar Parks Private Limited,Multiple Proponents,Energy industries (renewable/non-renewable sources),,ACM0002,Registered,India,"70,073",Asia,2018-04-18,2016-03-24,2026-03-23
1742,Hydroelectric Project in Kinnaur District in Himachal Pradesh,JSW Hydro Energy Limited,Energy industries (renewable/non-renewable sources),,ACM0002,Registered,India,"3,541,917",Asia,2018-05-14,,
773,8MW Waste Heat Recovery Based Power Project by Sree Rengaraaj Power India Private Limited,Multiple Proponents,Energy industries (renewable/non-renewable sources); Manufacturing industries,,ACM0012,Registered,India,"43,179",Asia,2011-12-18,,
1739,3 MW Hydro Power Project by Darjeeling Power Pvt. Ltd.,Darjeeling Power Pvt. Ltd,Energy industries (renewable/non-renewable sources),,AMS-I.D.,Registered,India,"16,404",Asia,2018-01-30,2016-04-15,2026-04-14
92,300MW Hydropower project by JHPL,JSW Hydro Energy Limited,Energy industries (renewable/non-renewable sources),,ACM0002,Registered,India,"1,052,463",Asia,2020-06-04,2006-04-01,2026-03-31
381,Bundled wind power project in Harshnath managed by Enercon (India) Limited,Wind World (India) Ltd.,Energy industries (renewable/non-renewable sources),,AMS-I.D.,Registered,India,"12,176",Asia,2020-04-06,,
1730,Bundled Solar PV based power generation by JKLCL,JK Lakshmi Cement Ltd.,Energy industries (renewable/non-renewable sources),,AMS-I.D.,Registered,India,"9,263",Asia,2017-11-29,2017-01-08,2027-01-07
1728,Bundled Wind Power Project by Mytrah Group,Multiple Proponents,Energy industries (renewable/non-renewable sources),,ACM0002,Registered,India,"921,296",Asia,2020-04-06,2015-12-30,2025-12-29
1291,"Hydro Power Project in backward district of Andhra Pradesh, India",Andhra Pradesh Power Generation Corporation Limited,Energy industries (renewable/non-renewable sources),,ACM0002,Registered,India,"364,520",Asia,2014-03-24,2018-08-18,2028-08-17
1709,140 MW Solar Photovoltaic Project in Rajasthan,Multiple Proponents,Energy industries (renewable/non-renewable sources),,ACM0002,Registered,India,"241,573",Asia,2019-08-19,2017-07-18,2027-07-17
1022,"Grid Connected Wind Power Project by M/s. D. J. Malpani at Ratan Ka Bas (RKB), Rajasthan",M/s D. J. Malpani,Energy industries (renewable/non-renewable sources),,AMS-I.D.,Registered,India,"7,497",Asia,2013-09-02,2021-12-06,2031-12-05
724,"53.75 MW Bundled wind Power project in Tamil Nadu  and Karnataka by KBD Group, India",Multiple Proponents,Energy industries (renewable/non-renewable sources),,ACM0002,Registered,India,"119,382",Asia,2020-04-06,,
1704,"Agricultural Land Management  project in Beed District, India implemented by Godrej Properties Ltd.",Godrej Properties Ltd,Agriculture Forestry and Other Land Use,REDD,VM0017,Registered,India,"33,764",Asia,2020-07-16,2017-07-28,2037-07-27
1691,5 MW Upper Awa Hydro Power Project in Himachal Pradesh by M/s Astha Projects (India) Limited,M/s Astha Projects (India) Limited,Energy industries (renewable/non-renewable sources),,AMS-I.D.,Registered,India,"19,411",Asia,2017-06-08,,
682,"Wind Power Project at Anthiyur, Tamil Nadu",Windage Power Company (P) LTD,Energy industries (renewable/non-renewable sources),,AMS-I.D.,Registered,India,"30,928",Asia,2020-06-04,2016-04-01,2026-03-31
604,Rajwakti Small Scale Hydropower Project,Him Urja Private Limited,Energy industries (renewable/non-renewable sources),,AMS-I.D.,Registered,India,"19,569",Asia,2020-04-06,2016-04-01,2026-03-31
557,Kadamane Mini Hydel Scheme-1 (KMHS-1),Paschim Hydro Energy Pvt. Ltd.,Energy industries (renewable/non-renewable sources),,AMS-I.D.,Registered,India,"32,128",,2020-04-06,2017-05-07,2027-05-06
1685,Grid connected 25 MW PV solar power project at Charanka in Gujarat,GMR Gujarat Solar Power Pvt. Ltd,Energy industries (renewable/non-renewable sources),,ACM0002,Registered,India,"34,462",Asia,2021-03-11,2022-03-04,2032-03-03
751,"22.5 MW Wind Power Project by Ruchi Soya Industries Limited at Palsodi, District-Ratlam, Madhya Pradesh",Ruchi Soya Industries Limited,Energy industries (renewable/non-renewable sources),,ACM0002,Registered,India,"46,323",Asia,2020-04-06,,
1194,Kaladonger Wind Power Project in Rajasthan,M/s Bindu Vayu Urja Private Limited,Energy industries (renewable/non-renewable sources),,ACM0002,Registered,India,"1,268,170",,2020-06-04,2022-02-18,2032-02-17
1679,"Bundled Wind Power Project in Madhya Pradesh, Gujarat and Kerala by D.J. Malpani",D. J Malpani,Energy industries (renewable/non-renewable sources),,ACM0002,Registered,India,"127,207",Asia,2020-04-28,2016-03-28,2026-03-27
790,Roaring 40s Wind Farms (Khandke) Private Limited - Phase III,CLP Wind Farms (Khandke) Private Limited,Energy industries (renewable/non-renewable sources),,ACM0002,Registered,India,"24,085",Asia,2012-03-07,,
1092,"SOLAR POWER PROJECT IN GUJARAT, INDIA BY WAA SOLAR LIMITED",Waa Solar Limited,Energy industries (renewable/non-renewable sources),,AMS-I.D.,Registered,India,"13,712",Asia,2020-06-04,,
1093,Solar Power Project by Sai Sudhir Energy Limited,Saisudhir Energy Limited,Energy industries (renewable/non-renewable sources),,AMS-I.D.,Registered,India,"8,117",Asia,2020-04-06,,
1109,Mithapur Solar Power Project,Tata Power Renewable Energy Limited,Energy industries (renewable/non-renewable sources),,ACM0002,Registered,India,"37,696",Asia,2020-04-06,,
1355,4.2 MW renewable energy based power generation project in Andhra Pradesh by Hi- Tech,Multiple Proponents,Energy industries (renewable/non-renewable sources),,AMS-I.D.,Registered,India,"8,152",Asia,2020-04-06,,
1352,"Bundled Wind Power Project in Tamilnadu, India, co-ordinated by Tamilnadu Spinning Mills Association (TASMA V1A)",TAMILNADU SPINNING MILLS ASSOCIATION (TASMA),Energy industries (renewable/non-renewable sources),,ACM0002,Registered,India,"83,772",Asia,2014-08-07,,
1673,AAC Block Project By HIL Limited,Hyderabad Industries Limited,Manufacturing industries,,AMS-III.Z,Registered,India,"21,636",Asia,2021-05-05,2015-11-28,2025-11-27
1671,"Wind based power generation by Panama Wind Energy Private Limited in Maharashtra, India",Panama Wind Energy Private Limited,Energy industries (renewable/non-renewable sources),,ACM0002,Registered,India,"186,270",Asia,2020-04-06,,
1241,Veer (NLBC) Small Hydro Power Project,Mahati Hydro Power Projects Private Limited,Energy industries (renewable/non-renewable sources),,AMS-I.D.,Registered,India,"10,067",Asia,2020-04-06,2022-05-20,2032-05-19
1670,Bundled Solar Power Project by D.J. Malpani and Giriraj Enterprises,Multiple Proponents,Energy industries (renewable/non-renewable sources),,ACM0002,Registered,India,"93,022",Asia,2020-04-06,,
1669,Bundled Wind Power Project by Giriraj Enterprises,Giriraj Enterprises,Energy industries (renewable/non-renewable sources),,ACM0002,Registered,India,"83,279",Asia,2020-04-06,,
1660,Wind bundle project in Maharashtra by Sispara,M/s Sispara Renewable Power Private Limited,Energy industries (renewable/non-renewable sources),,ACM0002,Registered,India,"60,746",Asia,2017-02-14,,
1651,AAC Block Manufacturing Using Energy Efficient Technology by JKLCL,JK Lakshmi Cement Ltd.,Manufacturing industries,,AMS-III.Z,Registered,India,"36,684",Asia,2017-08-08,2016-03-21,2026-03-20
1015,"Community-based reforestation project on degraded lands in Uttar Pradesh, India by Indian Farm Forestry Development Co-operative Limited",Indian Farm Forestry Development Co-operative Limited,Agriculture Forestry and Other Land Use,ARR,AR-AMS0005,Registered,India,"5,651",Asia,2013-10-08,2008-07-15,2038-07-14
292,"150 MW grid connected Wind Power based electricity generation project in Gujarat, India.",Vayu (Project 1) private limited,Energy industries (renewable/non-renewable sources),,ACM0002,Registered,India,"326,203",Asia,2020-04-06,,
644,"27.95MW Wind Energy Project in Coimbatore District in Tamilnadu, India.",LAKSHMI MACHINE WORKS LTD,Energy industries (renewable/non-renewable sources),,ACM0002,Registered,India,"60,778",Asia,2011-07-08,,
678,"16.45 MW bundled grid connected renewable energy project in Tamil Nadu, India.",Multiple Proponents,Energy industries (renewable/non-renewable sources),,ACM0002,Registered,India,"36,518",Asia,2020-06-04,,
308,"2.45 MW Wind Power Project in Rajasthan, India by Yamuna Power and Infrastructure Ltd.",Yamuna Power & Infrastructure Limited,Energy industries (renewable/non-renewable sources),,AMS-I.D.,Registered,India,"3,921",Asia,2020-04-06,,
909,Grid Connected Wind Power Project in Tamil Nadu,Apraava Renewable Energy Private Limited,Energy industries (renewable/non-renewable sources),,ACM0002,Registered,India,"54,105",Asia,2012-05-11,2020-07-02,2030-07-01
927,"13.75 MW wind power project in Davangere, Karnataka, India",Sargam Retails Pvt. Limited,Energy industries (renewable/non-renewable sources),,AMS-I.D.,Registered,India,"26,475",Asia,2020-04-06,,
314,"15 MW Bundled grid-connected wind electricity generation project in  Radhapuram Taluk of Tirunelveli District in Tamil Nadu, India",Multiple Proponents,Energy industries (renewable/non-renewable sources),,AMS-I.D.,Registered,India,"25,305",Asia,2010-02-10,,
